Number	Associated	TaxRank	MinScore	NextMaxScore
25016	Chlorovirus	Genus	125:05:00	104:03:00
19018	Pandoravirus	Genus	89:09:00	79:02:00
13219	Mimivirus	Genus	133:07:00	60:09:00
27318	Hanrivervirus	Genus	304:04:00	283:06:00
15030	Chlorovirus	Genus	241:06:00	200:01:00
1313	Aphthovirus	Genus	77:07:00	58:03:00
25032	Chlorovirus	Genus	139:09:00	118:08:00
20600	Phikmvvirus	Genus	1462:07:00	515:04:00
1032	Betaarterivirus	Genus	284:06:00	227:00:00
15368	Mimivirus	Genus	203:04:00	126:06:00
17122	Septimatrevirus	Genus	457:01:00	361:08:00
3598	Rudivirus	Genus	156:05:00	76:03:00
19338	Pandoravirus	Genus	83:03:00	65:07:00
27147	Limdunavirus	Genus	171:04:00	83:03:00
7502	Mimivirus	Genus	147:08:00	72:08:00
7789	Mimivirus	Genus	142:00:00	79:07:00
11713	Gordtnkvirus	Genus	192:04:00	138:02:00
5965	Mapvirus	Genus	292:05:00	281:06:00
23108	Septimatrevirus	Genus	168:07:00	77:00:00
4124	Cytomegalovirus	Genus	186:07:00	157:02:00
6435	Betaarterivirus	Genus	103:06:00	64:06:00
1839	Iltovirus	Genus	181:09:00	178:06:00
25848	Betaentomopoxvirus	Genus	171:00:00	60:09:00
20868	Tegunavirus	Genus	161:05:00	92:09:00
7107	Mimivirus	Genus	216:03:00	111:06:00
13782	Rogunavirus	Genus	122:06:00	122:02:00
12551	Tidunavirus	Genus	99:08:00	93:07:00
18528	Ionavirus	Genus	689:05:00	477:00:00
16335	Alphacoronavirus	Genus	33:00:00	
988	Kafunavirus	Genus	880:08:00	782:04:00
22431	Lightbulbvirus	Genus	145:05:00	142:07:00
1009	Betaarterivirus	Genus	65:06:00	35:05:00
26966	Lessievirus	Genus	498:09:00	468:07:00
1007	Betaarterivirus	Genus	105:05:00	98:08:00
4566	Slopekvirus	Genus	310:07:00	304:02:00
7102	Mimivirus	Genus	212:02:00	134:02:00
6410	Aphthovirus	Genus	79:04:00	
22726	Vequintavirus	Genus	202:09:00	199:03:00
28033	Getseptimavirus	Genus	306:03:00	194:01:00
1019	Betaarterivirus	Genus	225:02:00	201:01:00
17509	Mimivirus	Genus	133:04:00	108:05:00
1314	Aphthovirus	Genus	274:01:00	
16334	Alphacoronavirus	Genus	44:00:00	41:06:00
4912	Bruynoghevirus	Genus	600:00:00	578:08:00
6505	Alphacoronavirus	Genus	34:06:00	
6411	Aphthovirus	Genus	122:01:00	48:08:00
22224	Chunghsingvirus	Genus	588:09:00	309:05:00
7316	Mimivirus	Genus	153:03:00	83:02:00
20151	Marseillevirus	Genus	177:06:00	154:04:00
3335	Gyrovirus	Genus	319:07:00	
24330	Coopervirus	Genus	97:03:00	86:03:00
22799	Gaprivervirus	Genus	173:00:00	161:01:00
3323	Alphacoronavirus	Genus	57:05:00	
29396	Bastillevirus	Genus	337:04:00	183:01:00
8808	Alphacoronavirus	Genus	42:02:00	
23443	Gordtnkvirus	Genus	244:08:00	234:01:00
16333	Alphacoronavirus	Genus	48:08:00	
1030	Betaarterivirus	Genus	270:05:00	183:06:00
259	Closterovirus	Genus	460:05:00	135:05:00
30497	Nitunavirus	Genus	216:03:00	123:02:00
2005	Coetzeevirus	Genus	304:05:00	268:04:00
3326	Alphacoronavirus	Genus	77:04:00	
22037	Ithacavirus	Genus	293:02:00	122:02:00
1027	Betaarterivirus	Genus	385:04:00	291:07:00
21292	Mieseafarmvirus	Genus	228:06:00	101:02:00
10839	Pipefishvirus	Genus	631:00:00	593:00:00
1433	Rhadinovirus	Genus	257:01:00	51:00:00
20170	Marseillevirus	Genus	87:03:00	80:00:00
1341	Deltaretrovirus	Genus	149:03:00	126:05:00
27487	Chloriridovirus	Genus	197:04:00	78:09:00
19252	Pandoravirus	Genus	305:06:00	58:04:00
455	Betacoronavirus	Genus	45:03:00	33:00:00
22326	Morbillivirus	Genus	52:02:00	
23637	Vequintavirus	Genus	177:08:00	168:05:00
11273	Nonagvirus	Genus	372:02:00	343:03:00
14994	Prasinovirus	Genus	404:03:00	137:03:00
8805	Alphacoronavirus	Genus	47:07:00	
17528	Mimivirus	Genus	787:02:00	61:09:00
5006	Lessievirus	Genus	97:06:00	96:09:00
19492	Pandoravirus	Genus	297:01:00	58:00:00
1443	Rhadinovirus	Genus	256:06:00	52:07:00
28873	Nickievirus	Genus	195:00:00	193:05:00
1039	Morbillivirus	Genus	79:06:00	
20479	Marseillevirus	Genus	403:09:00	308:07:00
27836	Prasinovirus	Genus	190:06:00	73:05:00
26019	Chloriridovirus	Genus	199:02:00	184:02:00
21012	Agatevirus	Genus	2245:02:00	2181:04:00
12042	Bruynoghevirus	Genus	634:04:00	564:08:00
1312	Aphthovirus	Genus	209:08:00	
18976	Pandoravirus	Genus	155:04:00	76:02:00
13137	Schizotequatrovirus	Genus	211:09:00	77:07:00
6749	Tequintavirus	Genus	150:07:00	137:05:00
7934	Mimivirus	Genus	675:04:00	600:03:00
11396	Lentivirus	Genus	31:04:00	
15008	Prasinovirus	Genus	128:03:00	120:00:00
12515	Teschovirus	Genus	297:02:00	178:01:00
4375	Cyprinivirus	Genus	169:04:00	128:09:00
1028	Betaarterivirus	Genus	365:07:00	219:07:00
711	Morbillivirus	Genus	39:03:00	37:03:00
7845	Mimivirus	Genus	601:01:00	585:02:00
6155	Kayvirus	Genus	823:08:00	820:04:00
23622	Vequintavirus	Genus	412:05:00	118:01:00
7518	Mimivirus	Genus	411:06:00	354:03:00
1476	Orthopoxvirus	Genus	138:06:00	90:08:00
27325	Bicaudavirus	Genus	297:00:00	289:01:00
16110	Nazgulvirus	Genus	307:09:00	307:08:00
7490	Mimivirus	Genus	247:01:00	234:02:00
28065	Okubovirus	Genus	100:07:00	89:09:00
